"","fips","sector","th2015","th2016","th2017","th2018","th2019","th2020","th2021","th2022","th2023","th2024","th2025","th2026","th2027","th2028","th2029","th2030","th2031","th2032","th2033","th2034","th2035","th2036","th2037","th2038","th2039","th2040","th2041","th2042","th2043","th2044","th2045","th2046","th2047","th2048","th2049","th2050","th2051","th2052","th2053","th2054","th2055","th2056","th2057","th2058","th2059","th2060","th2061","th2062","th2063","th2064","th2065","th2066","th2067","th2068","th2069","th2070"
"1048",21181,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1049",21183,NA,3.8452929098253,3.80751086718292,4.06289870863631,4.37907469770619,4.52138111075079,4.72048126009212,4.62465293393515,4.657328025282,5.1031984600095,4.9874466842069,5.20507585005811,5.32920036538702,5.50159088638935,5.87402099213383,6.01395169144496,6.32332709488959,6.55785964212656,6.2262891070414,6.61601664005842,7.01300706093988,6.8129536201117,7.28419929998594,7.75774912493837,7.97576363238992,8.03423938618359,8.57580696257249,8.28442531730784,9.42225646701765,10.4188118950327,10.1682846305403,9.8842552762676,10.1598188768049,11.1268719430042,11.3453827180308,12.4720647015903,11.6801441170315,12.7561702014189,12.5083627136342,13.0300261475205,13.3782676127208,14.1943442736777,15.2546644389227,13.7589973885884,18.7053602116644,16.1478240527638,17.8716708336131,18.9601979854576,20.3721745945489,19.0879834482702,21.9640402716348,19.4371886426792,20.5559231566787,19.7237552172492,23.0791411657332,21.1968270392553,24.8928600419412
"1050",21185,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1051",21187,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1052",21189,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1053",21191,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1054",21193,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1055",21195,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1056",21197,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1057",21199,NA,0.510561975658485,0.50490424798052,0.538524112232066,0.580401496975289,0.598030861899527,0.631584827635001,0.613442683741666,0.623232368133504,0.675310098149974,0.664278170430883,0.694354748082917,0.713915732243371,0.725472021757971,0.778159282204029,0.787893340714731,0.833566983777317,0.858470145640065,0.828480666531191,0.874152642899316,0.923777413110411,0.902690187944459,0.967272124140442,1.01588478812436,1.05439237876213,1.0702530086923,1.14582028550498,1.08866427959554,1.25964578334345,1.37628888284368,1.34623120719383,1.30346684492566,1.35518263419774,1.46076512649917,1.49184783326894,1.65208970778067,1.5348559486734,1.67203456059846,1.66171271249247,1.73489164786985,1.73771323962811,1.85613452599152,2.00573130795453,1.80031904889357,2.45669392055036,2.11818951319581,2.28362637272533,2.56272047804847,2.66928809051592,2.50945937546617,2.89088253381904,2.60465854421104,2.69643312407989,2.58745598183812,3.05088688346719,2.77173783086396,3.35137852036916
